product_id,product_name,category,subcategory,brand,list_price,unit_cost,avg_rating,launch_date,expected_return_rate,is_active,margin_pct
P1001,Pulse Lite Charging Kit,Electronics,Mobile Accessories,Pulse,33.41,19.28,4.9,2023-12-15,0.06,True,0.4229272672852438
P1002,Auralink Go Speaker,Electronics,Audio,Auralink,80.22,57.07,4.1,2023-12-12,0.06,True,0.28858140114684616
P1003,NovaTech Essential Smart Band,Electronics,Wearables,NovaTech,32.55,23.12,4.9,2024-01-27,0.06,True,0.28970814132104444
P1004,Pulse Essential Speaker,Electronics,Audio,Pulse,94.95,72.43,4.3,2023-09-08,0.06,True,0.23717746182201155
P1005,NovaTech Pro Speaker,Electronics,Audio,NovaTech,153.81,92.22,4.5,2023-07-03,0.06,True,0.4004291008386971
P1006,NovaTech Go Keyboard,Electronics,Computer Accessories,NovaTech,23.03,14.37,4.2,2023-10-18,0.06,True,0.37603126356925753
P1007,Auralink Go Smart Band,Electronics,Wearables,Auralink,64.52,41.12,4.9,2023-09-15,0.06,True,0.36267823930564164
P1008,Auralink Lite Speaker,Electronics,Audio,Auralink,112.49,81.75,4.4,2023-12-16,0.06,True,0.2732687349986665
P1009,Auralink Mini Smart Band,Electronics,Wearables,Auralink,141.97,75.62,3.8,2024-03-24,0.06,True,0.4673522575191942
P1010,NovaTech Elite Speaker,Electronics,Audio,NovaTech,173.27,121.01,4.0,2025-01-29,0.06,True,0.30161020372828534
P1011,Auralink Elite Keyboard,Electronics,Computer Accessories,Auralink,46.83,35.51,3.6,2024-04-26,0.06,True,0.2417253897074525
P1012,Auralink Mini Charging Kit,Electronics,Mobile Accessories,Auralink,92.81,61.31,4.5,2023-02-03,0.06,True,0.33940308156448656
P1013,NovaTech Go Smart Band,Electronics,Wearables,NovaTech,102.59,53.71,4.1,2024-02-20,0.06,True,0.4764596939272834
P1014,Auralink Flex Keyboard,Electronics,Computer Accessories,Auralink,103.32,69.13,4.7,2023-01-22,0.06,True,0.33091366627951996
P1015,NovaTech Max Speaker,Electronics,Audio,NovaTech,150.71,107.4,4.9,2023-04-18,0.06,True,0.2873731006568907
P1016,Pulse Pro Charging Kit,Electronics,Mobile Accessories,Pulse,161.3,103.82,4.0,2024-09-14,0.06,True,0.3563546187228767
P1017,Auralink Air Speaker,Electronics,Audio,Auralink,166.81,108.89,4.6,2024-04-19,0.06,True,0.34722138960493976
P1018,ByteCraft Flex Keyboard,Electronics,Computer Accessories,ByteCraft,212.92,113.76,4.9,2023-08-04,0.06,True,0.46571482246853274
P1019,Haven Studio Blanket,Home,Bedding,Haven,122.75,66.45,4.3,2024-10-10,0.04,True,0.4586558044806517
P1020,Nestory Studio Blanket,Home,Bedding,Nestory,28.06,14.15,4.7,2024-10-23,0.04,True,0.4957234497505345
P1021,Haven Max Diffuser,Home,Decor,Haven,35.0,21.95,3.9,2023-06-30,0.04,True,0.3728571428571429
P1022,Oak & Ember Ultra Tumbler,Home,Kitchen,Oak & Ember,171.82,111.74,3.9,2023-07-10,0.04,True,0.34966825747875685
P1023,LumaHome Essential Diffuser,Home,Decor,LumaHome,145.79,84.41,4.8,2024-09-14,0.04,True,0.4210165306262432
P1024,Oak & Ember Elite Blanket,Home,Bedding,Oak & Ember,45.13,21.82,4.2,2023-08-23,0.04,True,0.5165078661644139
P1025,Nestory Core Blanket,Home,Bedding,Nestory,169.77,120.37,4.2,2023-07-02,0.04,True,0.2909819167108441
P1026,Oak & Ember Plus Diffuser,Home,Decor,Oak & Ember,145.86,76.77,4.5,2024-10-23,0.04,True,0.4736733854380914
P1027,Haven Plus Organizer,Home,Storage,Haven,144.17,78.86,3.2,2024-04-14,0.04,True,0.453006866893251
P1028,Haven Max Organizer,Home,Storage,Haven,83.85,46.79,4.1,2023-09-05,0.04,True,0.4419797257006559
P1029,Nestory Essential Diffuser,Home,Decor,Nestory,139.31,80.99,4.2,2024-11-29,0.04,True,0.4186346995908406
P1030,Nestory Air Diffuser,Home,Decor,Nestory,21.32,12.23,3.9,2023-11-12,0.04,True,0.4263602251407129
P1031,Oak & Ember Essential Tumbler,Home,Kitchen,Oak & Ember,79.81,44.82,4.5,2024-09-21,0.04,True,0.4384162385665957
P1032,Oak & Ember Elite Blanket,Home,Bedding,Oak & Ember,122.74,83.98,4.1,2024-09-20,0.04,True,0.31578947368421045
P1033,Haven Plus Blanket,Home,Bedding,Haven,108.58,73.21,4.5,2023-07-03,0.04,True,0.3257505986369498
P1034,LumaHome Air Blanket,Home,Bedding,LumaHome,101.48,51.23,4.4,2023-09-27,0.04,True,0.49517146235711473
P1035,Haven Max Tumbler,Home,Kitchen,Haven,93.91,60.95,4.4,2024-05-12,0.04,True,0.3509743371312959
P1036,Nestory Lite Tumbler,Home,Kitchen,Nestory,45.19,27.15,4.3,2023-09-13,0.04,True,0.3992033635760124
P1037,Threadmark Prime Jacket,Fashion,Outerwear,Threadmark,144.98,69.53,4.2,2024-06-23,0.14,True,0.5204166091874741
P1038,Threadmark Core Trainers,Fashion,Footwear,Threadmark,89.66,52.04,3.9,2024-09-04,0.14,True,0.41958509926388576
P1039,Threadmark Flex Tee,Fashion,Basics,Threadmark,78.03,41.14,4.8,2025-01-23,0.14,True,0.47276688453159044
P1040,UrbanWeave Mini Leggings,Fashion,Activewear,UrbanWeave,64.46,38.98,4.3,2024-11-19,0.14,True,0.39528389699038163
P1041,Threadmark Go Trainers,Fashion,Footwear,Threadmark,19.11,9.44,4.1,2024-03-03,0.14,True,0.5060177917320775
P1042,UrbanWeave Max Leggings,Fashion,Activewear,UrbanWeave,44.84,27.67,4.9,2023-01-12,0.14,True,0.3829170383586084
P1043,PeakForm Mini Leggings,Fashion,Activewear,PeakForm,142.05,54.23,4.8,2023-04-03,0.14,True,0.6182330165434707
P1044,PeakForm Ultra Trainers,Fashion,Footwear,PeakForm,62.98,36.21,4.2,2024-07-13,0.14,True,0.42505557319784054
